X,Grid,Year,site,mgmt,camtype,trapnights,avgprecip,pctsavanna,riverkm_perkm2,roadkm_perkm2,distboundarykm,distedgekm,avg_FRP,prey_det,preyper100tn,logprey,LionTrigs,human_occ,livest_occ,lion_occ,competitor_occ
122,P4,2017,KON,HC,IR,83,30.83333333,0.826086957,2775.761481,8.368654034,0.077376864,22.0122371,0,387,466.2650602,6.144754271,0,0.209869704,0.999989005,0.46454578,1
123,P5,2017,KON,HC,WF,89,31,0.913043478,1172.296973,5.285583517,8.45147183,18.1019373,0,22,24.71910112,3.207576269,0,0.190541045,0.999989005,0.379157182,1
124,P6,2017,KON,HC,WF,89,30.66666667,0.92,4185.602463,6.804735125,10.79910242,11.05399951,0,34,38.20224719,3.642894341,1,0.190541045,0.999989005,1,1
125,P7,2017,KON,HC,IR,87,30.66666667,1,1878.668039,4.208399092,3.509355532,3.713922835,7.5,21,24.13793103,3.183784505,2,1,0.999989005,1,1
126,P9,2017,ARL,NP,IR,93,31,0.833333333,1062.290015,3.51974225,1.810662108,1.810662108,8.4,65,69.89247312,4.246957963,0,1,1,0.46454578,1
127,Q5,2017,KON,HC,WF,88,31.75,0.818181818,4458.102014,7.648231231,2.308820726,13.71714923,0,32,36.36363636,3.593569274,0,0.209869704,0.999989005,0.402511353,1
128,Q6,2017,KON,HC,WF,88,31.75,0.875,3726.627777,6.084559144,3.13970783,4.344154685,3.6,49,55.68181818,4.01965367,0,0.190541045,0.999989005,0.379157182,1
129,Q8,2017,ARL,NP,IR,93,32,0.631578947,1090.388397,3.644322658,1.283014862,1.283014862,6.22666667,27,29.03225806,3.368407559,0,1,1,0.46454578,1
130,Q9,2017,ARL,NP,WF,93,32,0.72,3275.460236,6.137049913,0.248282367,7.496518229,2.375,34,36.55913978,3.598931217,0,0.042670873,0.102721367,0.402511353,0.148027595
131,R8,2017,ARL,NP,WF,93,33.25,0.72,3413.862033,3.777885866,0.487586302,7.508679344,5.4875,76,81.72043011,4.403304033,0,0.042670873,0.102721367,0.402511353,1
132,G16,2018,TDM,HC,IR,113,19.5,0.947368421,1023.817993,8.033325282,3.398477558,3.507863073,2.26153846,20,17.69911504,2.873514641,0,1,1,0.46454578,0.044909362
133,H16,2018,TDM,HC,IR,113,21,1,1090.977014,4.905042389,3.292324849,2.640817991,2.52857143,3,2.654867257,0.976394656,0,1,1,0.46454578,1
134,H17,2018,TDM,HC,WF,113,20.5,1,3693.161877,7.074023953,0.430999451,5.805142593,7.87142857,50,44.24778761,3.789805373,3,1,0.001703429,1,1
135,K3,2018,SIN,HC,IR,108,26.5,0.913043478,1525.522589,1.282497782,0.538117987,5.597702712,11.38571429,4,3.703703704,1.30933332,0,0.717386881,0.001703429,0.46454578,0.048096182
136,K4,2018,SIN,HC,WF,108,26.5,0.909090909,3011.424713,5.29213593,5.230824569,7.477475401,9.15,11,10.18518519,2.320934232,0,0.717386881,0.001703429,0.402511353,1
137,K5,2018,SIN,HC,WF,107,26,0.84,3857.756995,6.909763862,0.047747842,12.72798803,4.88333333,86,80.37383178,4.386688648,0,0.717386881,0.001703429,0.402511353,1
138,L3,2018,SIN,HC,IR,108,27,1,1283.907959,2.910808808,7.04361435,12.35112939,0,9,8.333333333,2.120263536,0,0.717386881,0.001703429,0.46454578,0.048096182
139,L4,2018,SIN,HC,IR,107,27,0.92,2132.251099,2.871990013,10.77915719,16.55107494,0,16,14.95327103,2.704930074,0,0.717386881,0.001703429,0.46454578,0.048001646
140,L5,2018,SIN,HC,IR,108,26.75,0.84,2987.397998,2.375302052,1.023188431,20.26706638,0,23,21.2962963,3.058533175,0,0.717386881,0.001703429,0.46454578,1
141,L6,2018,ARL,NP,WF,79,26.75,0.92,3276.014978,1.029170036,4.812948713,18.03887717,5.83333333,39,49.36708861,3.89928398,0,0.648238583,5.91E-44,0.450467556,0.113327076
142,L9,2018,PAG,HC,IR,106,27,0.8,1135.48501,1.557798004,4.555113743,3.952765699,2.87142857,10,9.433962264,2.244316185,0,1,1,0.46454578,1.88E-06
143,M10,2018,PAG,HC,WF,19,28,0.92,1445.34502,7.608451021,5.441562417,6.810526837,3.075,4,21.05263158,3.047025568,0,0.652661574,0.050060685,0.54826888,1
144,M11,2018,PAG,HC,WF,77,27.5,0.818181818,1294.933289,6.909983398,2.369700671,2.053752023,8.58333333,17,22.07792208,3.094578108,0,1,0.004526195,0.47485457,1
145,M3,2018,SIN,HC,WF,108,28,0.842105263,4382.074728,5.370358038,0.082415366,15.86781189,21.73333333,87,80.55555556,4.388947078,0,1,0.001703429,0.402511353,1
146,M4,2018,SIN,HC,IR,107,28,0.8,3429.356003,7.9620709,4.862164076,25.01287557,5.13333333,71,66.35514019,4.195021229,0,0.717386881,0.001703429,0.46454578,1
